SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,12,7,30,N/A,245.35,10.14,-0.5,95440,N/A
2013,1,12,8,30,N/A,254.07,8.47,-1.87,95590,N/A
2013,1,12,9,30,N/A,252.89000000000001,9.93,-2.24,95620,N/A
2013,1,12,10,30,N/A,252.5,9.83,-2.33,95700,N/A
2013,1,12,11,30,N/A,257.43,10.27,-2.45,95760,N/A
2013,1,12,12,30,N/A,256.62,7.48,-1.9100000000000001,95840,N/A
2013,1,12,13,30,N/A,252.07,8.35,-2.0100000000000002,95870,N/A
2013,1,12,14,30,N/A,258.31,8.56,-2.17,95920,N/A
2013,1,12,15,30,N/A,255.08,7.07,-2.31,95960,N/A
2013,1,12,16,30,N/A,257.42,7.04,-2.71,96000,N/A
2013,1,12,17,30,N/A,273.82,6.38,-3.17,96000,N/A
2013,1,12,18,30,N/A,288.7,6.51,-3.66,95990,N/A
2013,1,12,19,30,N/A,291.32,6.05,-4.17,96030,N/A
2013,1,12,20,30,N/A,306.76,6.68,-4.61,96000,N/A
2013,1,12,21,30,N/A,311.58,6.93,-5.47,95990,N/A
2013,1,12,22,30,N/A,309.49,6.17,-6.2,96010,N/A
2013,1,12,23,30,N/A,318.96,6.38,-6.7,95980,N/A
2013,1,13,0,30,N/A,315.42,6.18,-7.3,96020,N/A
2013,1,13,1,30,N/A,323.22,5.84,-7.9,96020,N/A
2013,1,13,2,30,N/A,321.67,5.51,-8.47,96040,N/A
2013,1,13,3,30,N/A,321.87,5.7700000000000005,-9.16,96040,N/A
2013,1,13,4,30,N/A,318.05,5.46,-9.71,96070,N/A
2013,1,13,5,30,N/A,321.44,5.58,-10.41,96100,N/A
2013,1,13,6,30,N/A,314.08,5.5,-11.15,96130,N/A
2013,1,13,7,30,N/A,316.21,5.69,-11.76,96140,N/A
2013,1,13,8,30,N/A,311.16,5.3500000000000005,-12.200000000000001,96190,N/A
2013,1,13,9,30,N/A,304.47,5.45,-12.23,96200,N/A
2013,1,13,10,30,N/A,300.65000000000003,5.5200000000000005,-12.06,96210,N/A
2013,1,13,11,30,N/A,300.21,5.66,-11.71,96190,N/A
2013,1,13,12,30,N/A,297.57,5.67,-11.33,96190,N/A
2013,1,13,13,30,N/A,294.05,5.94,-10.96,96200,N/A
2013,1,13,14,30,N/A,292.87,5.97,-10.71,96240,N/A
2013,1,13,15,30,N/A,291.34000000000003,6.7,-10.74,96260,N/A
2013,1,13,16,30,N/A,288.28000000000003,7.61,-11.08,96330,N/A
2013,1,13,17,30,N/A,288.08,8.78,-11.61,96400,N/A
2013,1,13,18,30,N/A,292.27,9.200000000000001,-12.07,96470,N/A
2013,1,13,19,30,N/A,291.36,8.55,-12.33,96530,N/A
2013,1,13,20,30,N/A,295.31,8.61,-12.540000000000001,96600,N/A
2013,1,13,21,30,N/A,293.17,7.45,-12.64,96640,N/A
2013,1,13,22,30,N/A,293.88,8.28,-12.8,96690,N/A
2013,1,13,23,30,N/A,299.62,8.06,-12.98,96760,N/A
2013,1,14,0,30,N/A,300.65000000000003,8.01,-13.09,96830,N/A
