SiteID,1745739,Site Timezone,-6,Data Timezone,0,Longitude,-87.6826171875,Latitude,35.2915306091
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,9,3,30,N/A,165.70000000000002,7.8,1.4000000000000001,98200,N/A
2014,1,9,4,30,N/A,160.19,7.16,1.01,98190,N/A
2014,1,9,5,30,N/A,166.82,7.45,1.18,98190,N/A
2014,1,9,6,30,N/A,164.4,7.17,1.08,98200,N/A
2014,1,9,7,30,N/A,155.86,6.5,0.8300000000000001,98210,N/A
2014,1,9,8,30,N/A,155.08,5.39,0.88,98230,N/A
2014,1,9,9,30,N/A,159.5,5.21,0.91,98240,N/A
2014,1,9,10,30,N/A,157.61,4.4,0.96,98260,N/A
2014,1,9,11,30,N/A,134.86,5.83,0.39,98210,N/A
2014,1,9,12,30,N/A,136.99,7.08,0.22,98200,N/A
2014,1,9,13,30,N/A,140.21,7.69,0.14,98190,N/A
2014,1,9,14,30,N/A,145.79,7.640000000000001,0.41000000000000003,98170,N/A
2014,1,9,15,30,N/A,151.04,6.390000000000001,0.51,98160,N/A
2014,1,9,16,30,N/A,159.86,4.5200000000000005,1.18,98130,N/A
2014,1,9,17,30,N/A,168.87,4.2,2.3000000000000003,98090,N/A
2014,1,9,18,30,N/A,161.03,4.78,2.79,98040,N/A
2014,1,9,19,30,N/A,147.92000000000002,4.15,2.06,97990,N/A
2014,1,9,20,30,N/A,146.83,8.65,5.0600000000000005,97900,N/A
2014,1,9,21,30,N/A,145.77,11.97,5.55,97820,N/A
2014,1,9,22,30,N/A,158.37,10.96,6.15,97900,N/A
2014,1,9,23,30,N/A,152.54,11.08,6.68,97860,N/A
2014,1,10,0,30,N/A,153.33,11.92,6.62,97800,N/A
2014,1,10,1,30,N/A,155.15,12.21,5.75,97830,N/A
2014,1,10,2,30,N/A,158.92000000000002,12.65,5.24,97830,N/A
2014,1,10,3,30,N/A,160.32,11.68,4.65,97790,N/A
2014,1,10,4,30,N/A,164.19,10.86,4.58,97780,N/A
2014,1,10,5,30,N/A,163.17000000000002,11.15,4.43,97740,N/A
2014,1,10,6,30,N/A,160.33,11.1,4.44,97710,N/A
2014,1,10,7,30,N/A,162.63,10.47,4.41,97690,N/A
2014,1,10,8,30,N/A,160.21,10.370000000000001,4.39,97670,N/A
2014,1,10,9,30,N/A,158.57,10.82,4.45,97620,N/A
2014,1,10,10,30,N/A,161.83,10.05,4.5,97630,N/A
2014,1,10,11,30,N/A,159.54,9.48,4.49,97570,N/A
2014,1,10,12,30,N/A,159.97,9.3,4.55,97550,N/A
2014,1,10,13,30,N/A,157.68,11.05,4.74,97480,N/A
2014,1,10,14,30,N/A,155.98,10.86,4.88,97430,N/A
2014,1,10,15,30,N/A,160.41,10.46,5.28,97360,N/A
2014,1,10,16,30,N/A,162.65,9.23,5.8,97270,N/A
2014,1,10,17,30,N/A,166.01,9.040000000000001,6.5,97170,N/A
2014,1,10,18,30,N/A,166.65,8.6,6.94,97080,N/A
2014,1,10,19,30,N/A,171.11,9.450000000000001,7.96,96990,N/A
2014,1,10,20,30,N/A,171.73,11.16,8.45,96910,N/A
2014,1,10,21,30,N/A,166.04,11.3,8.42,96830,N/A
